COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
76,VALLE DEL CAUCA,76111,BUGA,CEREALES,MAIZ,MAIZ,2008,2008A,433.0,410.0,2050,5.0,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76828,TRUJILLO,CEREALES,MAIZ,MAIZ,2008,2008A,370.0,313.0,1252,4.0,0.84,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7636,ANDALUCIA,CEREALES,MAIZ,MAIZ,2008,2008A,296.0,279.0,1858,6.66,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76823,TORO,CEREALES,MAIZ,MAIZ,2008,2008A,280.0,190.0,741,3.9,0.67,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76248,EL CERRITO,CEREALES,MAIZ,MAIZ,2008,2008A,227.0,227.0,1318,5.81,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76318,GUACARI,CEREALES,MAIZ,MAIZ,2008,2008A,200.0,200.0,600,3.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7652,PALMIRA,CEREALES,MAIZ,MAIZ,2008,2008A,175.0,173.0,778,4.5,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76895,ZARZAL,CEREALES,MAIZ,MAIZ,2008,2008A,130.0,130.0,455,3.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76306,GINEBRA,CEREALES,MAIZ,MAIZ,2008,2008A,122.0,121.0,665,5.5,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76616,RIOFRIO,CEREALES,MAIZ,MAIZ,2008,2008A,85.0,85.0,510,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76275,FLORIDA,CEREALES,MAIZ,MAIZ,2008,2008A,65.0,65.0,390,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7667,SAN PEDRO,CEREALES,MAIZ,MAIZ,2008,2008A,65.0,65.0,357,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76364,JAMUNDI,CEREALES,MAIZ,MAIZ,2008,2008A,56.0,56.0,308,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76736,SEVILLA,CEREALES,MAIZ,MAIZ,2008,2008A,50.0,50.0,325,6.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7613,CANDELARIA,CEREALES,MAIZ,MAIZ,2008,2008A,40.0,37.0,257,6.97,0.92,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76563,PRADERA,CEREALES,MAIZ,MAIZ,2008,2008A,40.0,40.0,200,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76869,VIJES,CEREALES,MAIZ,MAIZ,2008,2008A,15.0,12.0,24,2.0,0.8,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76892,YUMBO,CEREALES,MAIZ,MAIZ,2008,2008A,15.0,15.0,75,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,CALI,CEREALES,MAIZ,MAIZ,2008,2008A,13.0,3.0,6,2.0,0.23,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76497,OBANDO,CEREALES,MAIZ,MAIZ,2008,2008B,2.805,2.805,18,6.6,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76622,ROLDANILLO,CEREALES,MAIZ,MAIZ,2008,2008B,1.6,1.5,9,6.0,0.93,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76147,CARTAGO,CEREALES,MAIZ,MAIZ,2008,2008B,1.342,1.122,9,8.68,0.83,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76122,CAICEDONIA,CEREALES,MAIZ,MAIZ,2008,2008B,938.0,923.0,3692,4.0,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,CEREALES,MAIZ,MAIZ,2008,2008B,700.0,700.0,3500,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,764,LA UNION,CEREALES,MAIZ,MAIZ,2008,2008B,641.0,632.0,3722,5.89,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76834,TULUA,CEREALES,MAIZ,MAIZ,2008,2008B,600.0,570.0,2850,5.0,0.95,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,BOLIVAR,CEREALES,MAIZ,MAIZ,2008,2008B,500.0,450.0,2250,5.0,0.9,GRANO SECO,TRANSITORIO
