COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
41,HUILA,41244,ELIAS,CEREALES,MAIZ,MAIZ,2009,2009A,72.0,70.0,245,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4113,AGRADO,CEREALES,MAIZ,MAIZ,2009,2009A,71.0,68.0,244,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,4126,ALTAMIRA,CEREALES,MAIZ,MAIZ,2009,2009A,65.0,65.0,247,3.8,3.8,GRANO SECO,TRANSITORIO
41,HUILA,41524,PALERMO,CEREALES,MAIZ,MAIZ,2009,2009A,55.0,53.0,182,3.45,3.45,GRANO SECO,TRANSITORIO
41,HUILA,41378,LA ARGENTINA,CEREALES,MAIZ,MAIZ,2009,2009A,46.0,45.0,157,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41872,VILLAVIEJA,CEREALES,MAIZ,MAIZ,2009,2009A,45.0,45.0,137,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41349,HOBO,CEREALES,MAIZ,MAIZ,2009,2009A,35.0,35.0,126,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41518,PAICOL,CEREALES,MAIZ,MAIZ,2009,2009A,35.0,35.0,121,3.47,3.47,GRANO SECO,TRANSITORIO
41,HUILA,41797,TESALIA,CEREALES,MAIZ,MAIZ,2009,2009A,30.0,28.0,84,3.0,3.0,GRANO SECO,TRANSITORIO
41,HUILA,41483,NATAGA,CEREALES,MAIZ,MAIZ,2009,2009A,15.0,14.0,49,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41885,YAGUARA,CEREALES,MAIZ,MAIZ,2009,2009A,6.0,6.0,21,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41551,PITALITO,CEREALES,MAIZ,MAIZ,2009,2009B,896.0,886.0,3455,3.9,3.9,GRANO SECO,TRANSITORIO
